Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
Paris,Rome,3,5,16:00,3/3/2025,18:05,6:55,8/3/2025,9:10,ORY,FCO,FCO,ORY,Wizz Air,Wizz Air,nonstop,,,nonstop,,,0,0,892,28/02/2025,Momondo,125,135
Paris,Rome,3,5,15:20,3/3/2025,17:25,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,947,28/02/2025,Momondo,125,130
Paris,Rome,3,5,13:45,3/3/2025,15:50,6:00,8/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,962,28/02/2025,Momondo,125,135
Paris,Rome,3,5,13:45,3/3/2025,15:50,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,992,28/02/2025,Momondo,125,135
Paris,Rome,3,5,13:45,3/3/2025,15:50,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1021,28/02/2025,Momondo,125,130
Paris,Rome,3,5,9:45,3/3/2025,11:50,6:55,8/3/2025,9:10,ORY,FCO,FCO,ORY,Wizz Air,Wizz Air,nonstop,,,nonstop,,,0,0,1180,28/02/2025,Momondo,125,135
Paris,Rome,3,5,17:35,3/3/2025,19:40,10:30,8/3/2025,12:45,ORY,FCO,FCO,ORY,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,766,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:40,3/3/2025,8:40,18:45,8/3/2025,20:55,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,751,28/02/2025,Momondo,120,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,20:40,3/3/2025,22:45,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:00,3/3/2025,8:05,10:30,8/3/2025,12:45,ORY,FCO,FCO,ORY,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,792,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,858,28/02/2025,Momondo,125,130
Paris,Rome,3,5,20:40,3/3/2025,22:45,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,858,28/02/2025,Momondo,125,130
Paris,Rome,3,5,6:40,3/3/2025,8:40,12:05,8/3/2025,14:20,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,796,28/02/2025,Momondo,120,135
Paris,Rome,3,5,11:45,3/3/2025,13:50,21:30,8/3/2025,23:40,CDG,FCO,FCO,CDG,ITA Airways,ITA Airways,nonstop,,,nonstop,,,1,0,762,28/02/2025,Momondo,125,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,6:00,8/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,125,135
Paris,Rome,3,5,14:05,3/3/2025,16:10,21:30,8/3/2025,23:40,CDG,FCO,FCO,CDG,ITA Airways,ITA Airways,nonstop,,,nonstop,,,1,0,762,28/02/2025,Momondo,125,130
Paris,Rome,3,5,18:10,3/3/2025,20:15,21:30,8/3/2025,23:40,CDG,FCO,FCO,CDG,ITA Airways,ITA Airways,nonstop,,,nonstop,,,1,0,762,28/02/2025,Momondo,125,130
Paris,Rome,3,5,13:45,3/3/2025,15:50,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,899,28/02/2025,Momondo,125,130
